year,"Boundary, border","Asylum, detainment, police","Immigrant life, education","Politics, party, candidates","Terrorist attacks, security","Europe, EU Politics, Jewish","NY, Central America, East Asia",India,"Business, union, outsourcing",Legality,"Social, health, tax policies","Middle East, taliban",Random,News source
1981,12.464589235127479,11.331444759206798,37.67705382436261,10.48158640226629,8.78186968838527,7.648725212464589,7.648725212464589,0.56657223796034,0.56657223796034,0.56657223796034,0.56657223796034,0.56657223796034,0.56657223796034,0.56657223796034
1982,22.09106239460371,10.286677908937605,23.102866779089375,15.345699831365936,0.3372681281618887,14.33389544688027,12.141652613827993,0.3372681281618887,0.3372681281618887,0.3372681281618887,0.3372681281618887,0.3372681281618887,0.3372681281618887,0.3372681281618887
1983,30.470347648261757,0.40899795501022496,33.74233128834356,11.656441717791411,0.40899795501022496,0.40899795501022496,16.359918200409,4.08997955010225,0.40899795501022496,0.40899795501022496,0.40899795501022496,0.40899795501022496,0.40899795501022496,0.40899795501022496
1984,35.35660091047041,0.30349013657056145,41.42640364188164,19.878603945371776,0.30349013657056145,0.30349013657056145,0.30349013657056145,0.30349013657056145,0.30349013657056145,0.30349013657056145,0.30349013657056145,0.30349013657056145,0.30349013657056145,0.30349013657056145
1985,19.272727272727273,0.7272727272727273,32.36363636363637,17.09090909090909,0.7272727272727273,10.181818181818182,0.7272727272727273,8.363636363636363,6.909090909090909,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273
1986,44.0,1.0,29.5,1.0,1.0,1.0,15.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1987,16.600790513833992,0.2635046113306983,25.164690382081687,44.13702239789196,0.2635046113306983,11.462450592885375,0.2635046113306983,0.2635046113306983,0.2635046113306983,0.2635046113306983,0.2635046113306983,0.2635046113306983,0.2635046113306983,0.2635046113306983
1988,31.802120141342755,0.35335689045936397,33.92226148409894,21.908127208480565,0.35335689045936397,8.8339222614841,0.35335689045936397,0.35335689045936397,0.35335689045936397,0.35335689045936397,0.35335689045936397,0.35335689045936397,0.35335689045936397,0.35335689045936397
1989,17.926186291739896,10.720562390158172,23.90158172231986,26.010544815465728,0.351493848857645,8.963093145869948,5.0966608084358525,0.351493848857645,0.351493848857645,4.92091388400703,0.351493848857645,0.351493848857645,0.351493848857645,0.351493848857645
1990,26.923076923076923,0.7692307692307693,44.61538461538461,6.153846153846154,0.7692307692307693,14.615384615384615,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7692307692307693
1991,0.8,0.8,58.0,18.8,0.8,10.8,4.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8
1992,16.28787878787879,12.31060606060606,36.93181818181818,16.28787878787879,0.3787878787878788,14.772727272727273,0.3787878787878788,0.3787878787878788,0.3787878787878788,0.3787878787878788,0.3787878787878788,0.3787878787878788,0.3787878787878788,0.3787878787878788
